Hugo_Symbol	Chromosome	arm
RNU6-875P	8q24.13	8q
RNU6-876P	11q24.3	11q
RNU6-877P	1p32.3	1p
RNU6-878P	11p15.5	11p
RNU6-879P	12q13.3	12q
RNU6-880P	1p34.2	1p
RNU6-881P	9q34.13	9q
RNU6-882P	3p25.3	3p
RNU6-883P	10q22.2	10q
RNU6-884P	1q21.3	1q
RNU6-885P	10q11.21	10q
RNU6-886P	14q21.1	14q
RNU6-887P	4p14	4p
RNU6-888P	5q31.2	5q
RNU6-889P	10p15.3	10p
RNU6-890P	6p21.1	6p
RNU6-891P	4q13.3	4q
RNU6-892P	8p21.3	8p
RNU6-893P	11q23.1	11q
RNU6-895P	8p11.21	8p
RNU6-896P	6q25.2	6q
RNU6-897P	6q16.3	6q
RNU6-898P	16q22.1	16q
RNU6-899P	11q12.1	11q
RNU6-900P	22q13.1	22q
RNU6-901P	3q25.2	3q
RNU6-902P	19q13.31	19q
RNU6-903P	18p11.22	18p
RNU6-904P	2q22.1	2q
RNU6-905P	3p25.1	3p
RNU6-906P	6q21	6q
RNU6-907P	4q22.1	4q
RNU6-908P	10p11.23	10p
RNU6-909P	5p14.1	5p
RNU6-910P	3q29	3q
RNU6-911P	7q34	7q
RNU6-912P	7q11.21	7q
RNU6-913P	5q12.1	5q
RNU6-914P	8q22.2	8q
RNU6-915P	2q32.3	2q
RNU6-916P	18p11.31	18p
RNU6-917P	20p13	20p
RNU6-918P	9q22.33	9q
RNU6-919P	20q13.13	20q
RNU6-920P	17q11.2	17q
RNU6-921P	14q24.1	14q
RNU6-922P	3p24.3	3p
RNU6-923P	5p13.2	5p
RNU6-924P	19q13.32	19q
RNU6-925P	8q21.3	8q
RNU6-926P	21q21.3	21q
RNU6-927P	12q24.31	12q
RNU6-928P	17q24.2	17q
RNU6-929P	20q13.31	20q
RNU6-930P	6p22.1	6p
RNU6-931P	4p12	4p
RNU6-932P	2q24.1	2q
RNU6-933P	11q12.2	11q
RNU6-936P	2p23.3	2p
RNU6-937P	20q11.23	20q
RNU6-938P	17q25.1	17q
RNU6-939P	2p22.2	2p
RNU6-940P	12q13.12	12q
RNU6-942P	2p23.3	2p
RNU6-943P	11p15.4	11p
RNU6-944P	16p12.3	16p
RNU6-945P	19q13.2	19q
RNU6-946P	10p12.1	10p
RNU6-947P	1q44	1q
RNU6-948P	4q27	4q
RNU6-949P	1p35.3	1p
RNU6-950P	12q13.13	12q
RNU6-951P	2p22.2	2p
RNU6-952P	11q22.2	11q
RNU6-953P	15q21.1	15q
RNU6-954P	21q11.2	21q
RNU6-955P	17p13.2	17p
RNU6-956P	7q21.3	7q
RNU6-957P	6q21	6q
RNU6-958P	2p21	2p
RNU6-959P	2q32.3	2q
RNU6-960P	6q21	6q
RNU6-961P	2p24.1	2p
RNU6-962P	4p15.33	4p
RNU6-963P	5q23.2	5q
RNU6-964P	2q36.3	2q
RNU6-965P	1p21.2	1p
RNU6-966P	15q21.1	15q
RNU6-967P	19q12	19q
RNU6-968P	1q42.3	1q
RNU6-969P	1p32.3	1p
RNU6-970P	1p22.1	1p
RNU6-971P	17q21.31	17q
RNU6-973P	7q11.21	7q
RNU6-975P	6q13	6q
RNU6-976P	14q31.3	14q
RNU6-977P	12q21.31	12q
RNU6-978P	15q11.1	15q
RNU6-979P	7p15.1	7p
RNU6-980P	19q13.42	19q
RNU6-981P	17q12	17q
RNU6-982P	19q13.42	19q
RNU6-983P	1q31.3	1q
RNU6-984P	9q31.3	9q
RNU6-986P	2p23.3	2p
RNU6-987P	6p22.2	6p
RNU6-988P	8p11.23	8p
RNU6-989P	2q32.1	2q
RNU6-990P	17q11.2	17q
RNU6-991P	1p36.23	1p
RNU6-992P	21q22.12	21q
RNU6-993P	19p13.3	19p
RNU6-994P	20q13.33	20q
RNU6-996P	9q31.2	9q
RNU6-997P	2p16.2	2p
RNU6-998P	4q12	4q
RNU6-999P	1q44	1q
RNU6-1000P	4q21.1	4q
RNU6-1001P	2q24.1	2q
RNU6-1002P	18q12.1	18q
RNU6-1003P	5p15.1	5p
RNU6-1004P	12q24.31	12q
RNU6-1005P	16p12.2	16p
RNU6-1006P	2q31.1	2q
RNU6-1007P	2p11.2	2p
RNU6-1008P	1q42.11	1q
RNU6-1009P	12q14.2	12q
RNU6-1010P	7q32.3	7q
RNU6-1011P	8q22.3	8q
RNU6-1012P	12q21.1	12q
RNU6-1013P	9q31.3	9q
RNU6-1014P	15q21.1	15q
RNU6-1016P	6q14.1	6q
RNU6-1017P	12q24.33	12q
RNU6-1018P	20q12	20q
RNU6-1019P	20p13	20p
RNU6-1020P	9q33.3	9q
RNU6-1021P	18p11.21	18p
RNU6-1022P	1p36.12	1p
RNU6-1023P	6p12.1	6p
RNU6-1024P	3p25.1	3p
RNU6-1025P	11p15.5	11p
RNU6-1026P	1p32.3	1p
RNU6-1027P	2q36.3	2q
RNU6-1028P	19p13.11	19p
RNU6-1029P	2q33.1	2q
RNU6-1030P	HSCHR6_MHC_COXp21.33	HSCHR6_MHC_COXp
RNU6-1031P	1p31.3	1p
RNU6-1032P	18q11.2	18q
RNU6-1033P	14q22.1	14q
RNU6-1034P	17q11.2	17q
RNU6-1035P	9q21.32	9q
RNU6-1036P	5q35.3	5q
RNU6-1037P	18q22.1	18q
RNU6-1038P	18q11.2	18q
RNU6-1039P	9q31.3	9q
RNU6-1040P	8q21.2	8q
RNU6-1041P	19q13.42	19q
RNU6-1042P	1q21.3	1q
RNU6-1043P	16p11.2	16p
RNU6-1045P	2q32.3	2q
RNU6-1046P	14q11.2	14q
RNU6-1047P	3q21.3	3q
RNU6-1048P	2p21	2p
RNU6-1049P	2q21.1	2q
RNU6-1050P	18q12.1	18q
RNU6-1051P	2q37.3	2q
RNU6-1052P	7p11.2	7p
RNU6-1053P	4q35.1	4q
RNU6-1054P	4q26	4q
RNU6-1055P	4q35.2	4q
RNU6-1057P	17p11.2	17p
RNU6-1058P	1p34.1	1p
RNU6-1059P	4q22.3	4q
RNU6-1060P	6p22.3	6p
RNU6-1061P	16q22.2	16q
RNU6-1062P	1q21.3	1q
RNU6-1063P	11q14.2	11q
RNU6-1064P	9q31.2	9q
RNU6-1065P	17p12	17p
RNU6-1066P	22q12.1	22q
RNU6-1067P	10p12.1	10p
RNU6-1068P	12q23.2	12q
RNU6-1069P	12p11.21	12p
RNU6-1070P	7q11.23	7q
RNU6-1071P	1q21.1	1q
RNU6-1072P	1p36.21	1p
RNU6-1073P	9p24.3	9p
RNU6-1074P	4q31.1	4q
RNU6-1075P	10p13	10p
RNU6-1076P	19p13.3	19p
RNU6-1077P	12q24.33	12q
RNU6-1079P	5p13.3	5p
RNU6-1080P	7q11.23	7q
RNU6-1081P	2p25.1	2p
RNU6-1082P	9q33.1	9q
RNU6-1083P	12q14.1	12q
RNU6-1084P	8p23.1	8p
RNU6-1085P	7p14.2	7p
RNU6-1086P	8p21.1	8p
RNU6-1088P	12q24.31	12q
RNU6-1089P	1q44	1q
RNU6-1090P	10q25.3	10q
RNU6-1091P	7p12.1	7p
RNU6-1092P	8q22.3	8q
RNU6-1093P	12q13.12	12q
RNU6-1094P	3q11.2	3q
RNU6-1095P	10p14	10p
RNU6-1096P	4q34.1	4q
RNU6-1097P	7p13	7p
RNU6-1098P	3q25.1	3q
RNU6-1099P	1p36.13	1p
RNU6-1100P	1p36.33	1p
RNU6-1101P	3q29	3q
RNU6-1102P	1p31.1	1p
RNU6-1103P	7p15.3	7p
RNU6-1104P	7q22.1	7q
RNU6-1105P	3q27.3	3q
RNU6-1106P	6q16.3	6q
RNU6-1107P	11q23.2	11q
RNU6-1108P	15q21.1	15q
RNU6-1109P	3q28	3q
RNU6-1110P	16q21	16q
RNU6-1111P	15q26.1	15q
RNU6-1112P	4p14	4p
RNU6-1113P	6p21.1	6p
RNU6-1114P	6p22.3	6p
RNU6-1115P	6q21	6q
RNU6-1116P	2p22.2	2p
RNU6-1117P	2p22.3	2p
RNU6-1118P	10p11.1	10p
RNU6-1119P	5q21.1	5q
RNU6-1120P	3q26.32	3q
RNU6-1121P	10q25.3	10q
RNU6-1122P	2q32.1	2q
RNU6-1123P	11q23.3	11q
RNU6-1125P	7p11.2	7p
RNU6-1126P	7p11.2	7p
RNU6-1127P	3q13.33	3q
RNU6-1128P	22q12.2	22q
RNU6-1129P	3p12.1	3p
RNU6-1131P	18q21.1	18q
RNU6-1132P	2q21.2	2q
RNU6-1133P	6p21.33	6p
RNU6-1134P	17q11.2	17q
RNU6-1135P	11q14.2	11q
RNU6-1136P	7q22.1	7q
RNU6-1137P	17q21.31	17q
RNU6-1138P	14q11.2	14q
RNU6-1139P	1q43	1q
RNU6-1140P	2q37.3	2q
RNU6-1141P	10p12.31	10p
RNU6-1142P	3q22.1	3q
RNU6-1143P	11p15.4	11p
RNU6-1144P	6q21	6q
RNU6-1145P	2p15	2p
RNU6-1146P	20q13.31	20q
RNU6-1147P	2q14.3	2q
RNU6-1148P	5q31.2	5q
RNU6-1149P	21q22.3	21q
RNU6-1150P	21q22.3	21q
RNU6-1151P	8p23.1	8p
RNU6-1152P	17q21.32	17q
RNU6-1153P	16q12.2	16q
RNU6-1154P	7q33	7q
RNU6-1155P	16q21	16q
RNU6-1156P	11q24.2	11q
RNU6-1157P	11q23.3	11q
RNU6-1158P	17q22	17q
RNU6-1159P	20p12.1	20p
RNU6-1160P	9q22.32	9q
RNU6-1161P	22q13.31	22q
RNU6-1162P	14q23.2	14q
RNU6-1163P	6q21	6q
RNU6-1164P	5q31.1	5q
RNU6-1165P	10q24.32	10q
RNU6-1166P	20q11.22	20q
RNU6-1167P	10p11.21	10p
RNU6-1168P	2p11.2	2p
RNU6-1169P	15q15.1	15q
RNU6-1170P	10q11.21	10q
RNU6-1171P	1p36.11	1p
RNU6-1172P	8q22.1	8q
RNU6-1173P	HSCHR6_MHC_COXp22.1	HSCHR6_MHC_COXp
RNU6-1174P	3q22.2	3q
RNU6-1175P	11q13.3	11q
RNU6-1176P	1p31.3	1p
RNU6-1177P	1p31.3	1p
RNU6-1178P	17p11.2	17p
RNU6-1179P	19p12	19p
RNU6-1180P	2q13	2q
RNU6-1181P	3p14.3	3p
RNU6-1182P	11q25	11q
RNU6-1183P	12q23.2	12q
RNU6-1184P	7q35	7q
RNU6-1185P	2p22.1	2p
RNU6-1186P	15q26.3	15q
RNU6-1187P	4q21.1	4q
RNU6-1188P	12q24.21	12q
RNU6-1190P	5p13.2	5p
RNU6-1191P	16q23.2	16q
RNU6-1192P	17q12	17q
RNU6-1193P	9q21.11	9q
RNU6-1194P	3p26.3	3p
RNU6-1195P	4p14	4p
RNU6-1196P	4q31.3	4q
RNU6-1197P	8q21.11	8q
RNU6-1198P	7q11.23	7q
RNU6-1199P	1p36.33	1p
RNU6-1200P	3q13.31	3q
RNU6-1201P	17q21.32	17q
RNU6-1202P	8q12.1	8q
RNU6-1203P	12q13.11	12q
RNU6-1204P	14q22.3	14q
RNU6-1205P	1q44	1q
RNU6-1206P	2q33.1	2q
RNU6-1207P	10q11.21	10q
RNU6-1208P	1p36.11	1p
RNU6-1209P	8q22.1	8q
RNU6-1210P	18p11.21	18p
RNU6-1211P	1q42.2	1q
RNU6-1212P	10p12.31	10p
RNU6-1213P	8q21.13	8q
RNU6-1214P	4q31.1	4q
RNU6-1215P	2p24.2	2p
RNU6-1216P	2p13.3	2p
RNU6-1217P	4q26	4q
RNU6-1218P	8p12	8p
RNU6-1219P	22q12.1	22q
RNU6-1220P	8q21.12	8q
RNU6-1221P	4p15.1	4p
RNU6-1222P	6q24.3	6q
RNU6-1223P	19p13.3	19p
RNU6-1224P	8q22.3	8q
RNU6-1226P	6q21	6q
RNU6-1227P	3p22.2	3p
RNU6-1228P	9q21.13	9q
RNU6-1229P	7q11.21	7q
RNU6-1230P	4q31.23	4q
RNU6-1231P	10q24.32	10q
RNU6-1232P	5q13.1	5q
RNU6-1233P	3q26.31	3q
RNU6-1234P	14q12	14q
RNU6-1235P	15q11.2	15q
RNU6-1236P	3q13.13	3q
RNU6-1237P	1p34.2	1p
RNU6-1238P	11q13.2	11q
RNU6-1239P	14q11.2	14q
RNU6-1240P	1q31.1	1q
RNU6-1241P	16p12.1	16p
RNU6-1242P	18q12.3	18q
RNU6-1243P	11q12.3	11q
RNU6-1244P	10p11.22	10p
RNU6-1245P	1p35.3	1p
RNU6-1246P	1p31.1	1p
RNU6-1247P	6q25.1	6q
RNU6-1248P	1q41	1q
RNU6-1249P	17q22	17q
RNU6-1250P	10q21.3	10q
RNU6-1251P	20q13.12	20q
RNU6-1252P	4q12	4q
RNU6-1253P	1p32.3	1p
RNU6-1254P	7q11.21	7q
RNU6-1255P	8q24.21	8q
RNU6-1256P	3q12.3	3q
RNU6-1257P	20p11.21	20p
RNU6-1258P	14q32.12	14q
RNU6-1259P	6p22.2	6p
RNU6-1260P	9p22.3	9p
RNU6-1261P	14q13.1	14q
RNU6-1262P	16q22.1	16q
RNU6-1263P	3q12.1	3q
RNU6-1264P	17p13.2	17p
RNU6-1265P	1p36.21	1p
RNU6-1266P	10q22.3	10q
RNU6-1267P	17q11.2	17q
RNU6-1268P	14q11.2	14q
RNU6-1269P	9p12	9p
RNU6-1270P	3p13	3p
RNU6-1271P	12q21.2	12q
RNU6-1272P	7q34	7q
RNU6-1273P	12q13.12	12q
RNU6-1274P	10q24.1	10q
RNU6-1275P	2q22.3	2q
RNU6-1276P	8p21.1	8p
RNU6-1277P	14q21.1	14q
RNU6-1278P	18q21.1	18q
RNU6-1279P	3q29	3q
RNU6-1280P	15q25.3	15q
RNU6-1281P	1p32.3	1p
RNU6-1282P	4q31.3	4q
RNU6-1283P	1q44	1q
RNU6-1284P	3q22.3	3q
RNU6-1285P	4q31.3	4q
RNU6-1286P	6q22.31	6q
RNU6-1287P	15q21.3	15q
RNU6-1288P	2p24.3	2p
RNU6-1289P	18q11.2	18q
RNU6-1290P	2q31.1	2q
RNU6-1291P	14q22.1	14q
RNU6-1292P	11q14.1	11q
RNU6-1293P	9q21.11	9q
RNU6-1294P	3q23	3q
RNU6-1295P	12p13.2	12p
RNU6-1296P	5q11.1	5q
RNU6-1297P	1q22	1q
RNU6-1298P	4q22.1	4q
RNU6-1299P	6q21	6q
RNU6-1300P	8q21.11	8q
RNU6-1301P	3p22.2	3p
RNU6-1302P	11p11.2	11p
RNU6-1303P	9q21.2	9q
RNU6-1304P	1q42.12	1q
RNU6-1305P	5p13.2	5p
RNU6-1306P	11q13.1	11q
RNU6-1307P	19q13.42	19q
RNU6-1308P	3q13.12	3q
RNU6-1309P	1q21.3	1q
RNU6-1310P	1q24.2	1q
RNU6-1311P	5q31.1	5q
RNU6-1312P	2p11.2	2p
RNU6-1313P	17q21.33	17q
RNU6-1315P	12p13.33	12p
RNU6-1316P	14q32.32	14q
RNU6-1317P	3q26.31	3q
RNU6-1318P	1p21.2	1p
RNU6-1319P	1q42.11	1q
RNU6-1320P	2q11.1	2q
RNU6-1322P	7q22.3	7q
RNU6-1324P	8q13.1	8q
RNU6-1325P	4q13.1	4q
RNU6-1326P	21q21.1	21q
RNU6-1327P	9p24.3	9p
RNU6-1328P	7q21.3	7q
RNU6-1329P	12q22	12q
RNU6-1330P	5q13.3	5q
RNU6-1331P	8q11.23	8q
RNU6-1332P	15q21.1	15q
RNU6-1333P	2q37.3	2q
RNU6-1335P	7p11.2	7p
RNU6-1336P	4q32.3	4q
RNU6-1337P	19q13.43	19q
RNU6-1338P	6q14.1	6q
RNU6-1339P	15q25.2	15q
RNU6-1340P	16p12.3	16p
RNU6ATAC	9q34.2	9q
RNU6ATAC2P	5q11.2	5q
RNU6ATAC3P	17q21.32	17q
RNU6ATAC4P	3p22.2	3p
RNU6ATAC5P	4q13.3	4q
RNU6ATAC6P	3p11.1	3p
RNU6ATAC7P	17q11.2	17q
RNU6ATAC8P	8q22.3	8q
RNU6ATAC9P	14q22.2	14q
RNU6ATAC10P	5q23.3	5q
RNU6ATAC11P	10q11.21	10q
RNU6ATAC12P	11q25	11q
RNU6ATAC13P	4q33	4q
RNU6ATAC14P	2q31.1	2q
RNU6ATAC15P	3q13.13	3q
RNU6ATAC16P	3p21.1	3p
RNU6ATAC17P	20p11.21	20p
RNU6ATAC18P	1p36.22	1p
RNU6ATAC19P	2q31.3	2q
RNU6ATAC20P	18q11.2	18q
RNU6ATAC21P	6p24.3	6p
RNU6ATAC22P	22q13.2	22q
RNU6ATAC24P	3q29	3q
RNU6ATAC25P	16q22.2	16q
RNU6ATAC26P	3p14.3	3p
RNU6ATAC27P	1p35.3	1p
RNU6ATAC28P	14q31.2	14q
RNU6ATAC29P	3p21.2	3p
RNU6ATAC30P	14q21.3	14q
RNU6ATAC31P	4q22.1	4q
RNU6ATAC32P	8q11.23	8q
RNU6ATAC33P	11p15.4	11p
RNU6ATAC34P	20p11.23	20p
RNU6ATAC35P	1q41	1q
RNU6ATAC36P	5q13.3	5q
RNU6ATAC37P	2p25.1	2p
RNU6ATAC38P	20q13.12	20q
RNU6ATAC39P	10p13	10p
RNU6ATAC40P	7q35	7q
RNU6ATAC41P	8q22.3	8q
RNU6ATAC42P	12q14.3	12q
RNU6V	1p13	1p
RNU7-1	12p13.31	12p
RNU7-2P	2q22.3	2q
RNU7-3P	6q25.1	6q
RNU7-4P	12q15	12q
RNU7-5P	15q21.1	15q
RNU7-6P	20q13.2	20q
RNU7-8P	1p31.1	1p
RNU7-9P	2q36.3	2q
RNU7-10P	3p24.3	3p
RNU7-11P	4p14	4p
RNU7-12P	10p12.1	10p
RNU7-13P	1q25.3	1q
RNU7-14P	20q13.2	20q
RNU7-15P	5q31.1	5q
RNU7-16P	7q32.1	7q
RNU7-17P	18q11.2	18q
RNU7-18P	3q29	3q
RNU7-19P	3p13	3p
RNU7-20P	7q36.1	7q
RNU7-21P	9q34.13	9q
RNU7-22P	10p11.22	10p
RNU7-23P	11q13.2	11q
RNU7-24P	16p12.1	16p
RNU7-25P	18p11.31	18p
RNU7-26P	6p22.1	6p
RNU7-27P	7q32.1	7q
RNU7-28P	11p15.4	11p
RNU7-29P	1p35.3	1p
RNU7-30P	14q32.11	14q
RNU7-31P	17p13.2	17p
RNU7-32P	3q26.2	3q
RNU7-33P	4p16.3	4p
RNU7-34P	5q23.1	5q
RNU7-35P	7p14.1	7p
RNU7-36P	9p13.3	9p
RNU7-38P	10q22.1	10q
RNU7-39P	12q13.12	12q
RNU7-40P	12q13.3	12q
RNU7-41P	14q13.2	14q
RNU7-42P	16q22.1	16q
RNU7-43P	17p13.1	17p
RNU7-44P	2q31.1	2q
RNU7-45P	2q33.1	2q
RNU7-46P	2q11.2	2q
RNU7-47P	3q23	3q
RNU7-48P	6q13	6q
RNU7-49P	11p15.2	11p
RNU7-50P	11p15.4	11p
RNU7-51P	14q31.1	14q
RNU7-52P	17q23.2	17q
RNU7-53P	5q23.3	5q
RNU7-54P	7q32.1	7q
RNU7-55P	8p23.1	8p
RNU7-57P	1q21.3	1q
RNU7-58P	11q12.1	11q
RNU7-59P	11q14.1	11q
RNU7-60P	12p13.2	12p
RNU7-61P	16p11.2	16p
RNU7-62P	1p31.3	1p
RNU7-63P	16p13.2	16p
RNU7-64P	2p11.2	2p
RNU7-65P	6p12.3	6p
RNU7-66P	6q12	6q
RNU7-67P	8q22.3	8q
RNU7-70P	1p13.2	1p
RNU7-71P	16q22.2	16q
RNU7-72P	20q13.13	20q
RNU7-73P	3p22.2	3p
RNU7-74P	4p14	4p
RNU7-75P	5p13.2	5p
RNU7-76P	7p12.3	7p
RNU7-77P	10p11.21	10p
RNU7-78P	1q25.1	1q
RNU7-79P	15q25.3	15q
RNU7-80P	1p31.3	1p
RNU7-81P	2p16.1	2p
RNU7-82P	3q26.1	3q
RNU7-83P	7q31.1	7q
RNU7-84P	8q23.1	8q
RNU7-85P	8q21.13	8q
RNU7-87P	13q21.32	13q
RNU7-88P	13q21.2	13q
RNU7-89P	13q22.1	13q
RNU7-90P	16q22.2	16q
RNU7-91P	6p23	6p
RNU7-92P	20q13.13	20q
RNU7-93P	14q13.3	14q
RNU7-94P	12q23.3	12q
RNU7-95P	1p32.3	1p
RNU7-96P	2q11.2	2q
RNU7-97P	17q21.2	17q
RNU7-99P	16p13.3	16p
RNU7-100P	10p12.1	10p
RNU7-101P	17q21.31	17q
RNU7-102P	8q13.2	8q
RNU7-103P	12p13.33	12p
RNU7-104P	2q31.2	2q
RNU7-105P	11q13.4	11q
RNU7-106P	12q21.31	12q
RNU7-107P	10q11.23	10q
RNU7-108P	3q11.1	3q
RNU7-109P	8q24.3	8q
RNU7-110P	3p22.3	3p
RNU7-111P	15q26.1	15q
RNU7-112P	9p13.3	9p
RNU7-113P	2p24.1	2p
RNU7-114P	12q24.13	12q
RNU7-115P	17q24.1	17q
RNU7-116P	14q23.2	14q
RNU7-117P	16q24.3	16q
RNU7-118P	17p13.1	17p
RNU7-119P	3p13	3p
RNU7-120P	12q21.33	12q
RNU7-121P	1p34.2	1p
RNU7-122P	1p13.3	1p
RNU7-123P	1p31.3	1p
RNU7-124P	9p13.2	9p
RNU7-125P	16p13.12	16p
RNU7-126P	4p15.2	4p
RNU7-127P	2q37.2	2q
RNU7-128P	3p21.31	3p
RNU7-129P	18p11.21	18p
RNU7-130P	5p13.2	5p
RNU7-131P	4p15.1	4p
RNU7-132P	12q15	12q
RNU7-133P	6p23	6p
RNU7-134P	17q22	17q
RNU7-135P	17q21.33	17q
RNU7-136P	3q25.33	3q
RNU7-137P	20p11.23	20p
RNU7-138P	2p25.1	2p
RNU7-139P	1p31.1	1p
RNU7-140P	19p13.2	19p
RNU7-141P	20q13.33	20q
RNU7-142P	3q29	3q
RNU7-143P	7p15.3	7p
RNU7-144P	20q13.13	20q
RNU7-145P	18q12.3	18q
RNU7-146P	18q22.1	18q
RNU7-147P	2q33.1	2q
RNU7-148P	2q24.3	2q
RNU7-149P	4q23	4q
RNU7-150P	1q22	1q
RNU7-151P	4q24	4q
RNU7-152P	6q25.3	6q
RNU7-153P	8p22	8p
RNU7-154P	7q31.32	7q
RNU7-155P	17q24.3	17q
RNU7-156P	5q31.3	5q
RNU7-157P	7p11.2	7p
RNU7-158P	4q35.1	4q
RNU7-159P	11q22.2	11q
RNU7-160P	14q32.33	14q
RNU7-161P	5p13.1	5p
RNU7-162P	2p11.2	2p
RNU7-163P	10p15.3	10p
RNU7-165P	10q25.3	10q
RNU7-166P	12p13.33	12p
RNU7-167P	22q12.3	22q
RNU7-168P	21q21.1	21q
RNU7-169P	12q24.11	12q
RNU7-170P	12q24.31	12q
RNU7-171P	9q34.11	9q
RNU7-172P	2p16.2	2p
RNU7-173P	20q13.13	20q
RNU7-174P	8q12.1	8q
RNU7-175P	5q13.3	5q
RNU7-176P	2p25.1	2p
RNU7-177P	8q22.1	8q
RNU7-178P	12q24.12	12q
RNU7-179P	1p36.21	1p
RNU7-180P	5q32	5q
RNU7-181P	8q24.21	8q
RNU7-182P	2q14.3	2q
RNU7-183P	1q25.3	1q
RNU7-184P	12q23.2	12q
RNU7-185P	9p24.1	9p
RNU7-186P	17q21.32	17q
RNU7-187P	11q23.2	11q
RNU7-188P	7q21.3	7q
RNU7-189P	12p13.31	12p
RNU7-190P	2q14.1	2q
RNU7-191P	18q21.1	18q
RNU7-192P	4q35.2	4q
RNU7-193P	10q11.21	10q
RNU7-194P	4q31.3	4q
RNU7-195P	15q26.1	15q
RNU7-196P	5q13.2	5q
RNU7-197P	4q31.23	4q
RNU7-198P	3q22.3	3q
RNU7-199P	16p11.2	16p
RNU7-200P	1p36.12	1p
RNU7P3	16p12.1	16p
RNU11	1p35.3	1p
RNU11-2P	17p12	17p
RNU11-3P	10q24.33	10q
RNU11-4P	8q24.21	8q
RNU11-5P	14q12	14q
RNU11-6P	8q21.13	8q
RNU12	22q13.2	22q
RNU17C	1pter-qter	1p
RNU40	1p34.1-p32	1p
RNU86	22q13	22q
RNU105A	1p35.3	1p
RNU105B	20p12.3	20p
RNU105C	8q11.23	8q
RNVU1-1	1q21.1	1q
RNVU1-2	1q21.1	1q
RNVU1-2A	1q21.1	1q
RNVU1-3	1q21.1	1q
RNVU1-4	1q21.1	1q
RNVU1-5	1q21.1	1q
RNVU1-6	1q21.1	1q
RNVU1-7	1q21.1	1q
RNVU1-8	1q21.1	1q
RNVU1-9	1q21.2	1q
RNVU1-10	1q21.2	1q
RNVU1-11	1q21.2	1q
RNVU1-12	1q21.2	1q
RNVU1-13	1q21.2	1q
RNVU1-14	1q21.2	1q
RNVU1-15	1q21.2	1q
RNVU1-16	1q21.2	1q
RNVU1-17	1q21.2	1q
RNVU1-18	1q21.2	1q
RNVU1-19	1q21.2	1q
RNVU1-20	1q21.2 not on reference assembly	1q
RNVU1-21	1q21.2	1q
RNVU1-22	1q21.2	1q
RNVU1-23	1q21.2	1q
RNVU1-24	1q21.1	1q
RNVU1-25	1q21.1	1q
RNVU1-26	1q21.1	1q
RNVU1-27	1q21.2	1q
RNVU1-28	1q21.1	1q
RNVU1-29	1q21.1	1q
RNVU1-30	1q21.2	1q
RNVU1-31	1q21.1	1q
RNVU1-32	8q24.21	8q
RNVU1-33	6p21.2	6p
RNVU1-34	17q22	17q
RNY1	7q36.1	7q
RNY1P1	13q12.2	13q
RNY1P2	13q33.1	13q
RNY1P3	13q12.13	13q
RNY1P4	13q13.1	13q
RNY1P5	13q22.1	13q
RNY1P6	13q14.3	13q
RNY1P7	13q12.12	13q
RNY1P8	13q22.1	13q
RNY1P9	22q11.21	22q
RNY1P10	16p12.1	16p
RNY1P11	7q32.1	7q
RNY1P12	3q12.3	3q
RNY1P13	1p13.2	1p
RNY1P14	4q31.21	4q
RNY1P15	9q33.2	9q
RNY1P16	12q23.2	12q
RNY3	7q36.1	7q
RNY3P1	5q14.1	5q
RNY3P2	13q14.2	13q
RNY3P3	13q22.3	13q
RNY3P4	13q12.12	13q
RNY3P5	13q21.2	13q
RNY3P6	13q32.3	13q
RNY3P7	13q22.3	13q
RNY3P8	13q32.1	13q
RNY3P9	13q14.11	13q
RNY3P10	13q21.33	13q
RNY3P11	6q21	6q
RNY3P12	10q23.33	10q
RNY3P13	3q22.1	3q
RNY3P14	8q13.3	8q
RNY3P15	6p21.31	6p
RNY4	7q36.1	7q
RNY4P1	9q21.13	9q
RNY4P2	17q21.31	17q
RNY4P3	16q12.1	16q
RNY4P4	3q22.3	3q
RNY4P5	8q24.13	8q
RNY4P6	11q23.3	11q
RNY4P7	2q14.3	2q
RNY4P8	17q21.2	17q
RNY4P9	13q14.3	13q
RNY4P10	6p21.3	6p
RNY4P11	20p11.23	20p
RNY4P12	11q23.3	11q
RNY4P13	17q11.2	17q
RNY4P14	13q13.3	13q
RNY4P15	2p11.2	2p
RNY4P16	1q42.11	1q
RNY4P17	4q32.3	4q
RNY4P18	9q31.3	9q
RNY4P19	2q36.3	2q
RNY4P20	6q25.1	6q
RNY4P21	14q24.3	14q
RNY4P22	3p24.3	3p
RNY4P24	13q14.3	13q
RNY4P25	1q21.3	1q
RNY4P26	10q23.33	10q
RNY4P27	13q32.1	13q
RNY4P28	13q21.2	13q
RNY4P29	13q21.1	13q
RNY4P30	13q14.2	13q
RNY4P31	13q21.2	13q
RNY4P32	9p13.3	9p
RNY4P34	2q33.1	2q
RNY4P35	7q33	7q
RNY4P36	17q25.1	17q
RNY4P37	18q21.1	18q
RNY5	7q36.1	7q
RNY5P1	1p34.3	1p
RNY5P2	2q33.1	2q
RNY5P3	3q26.2	3q
RNY5P4	4q28.2	4q
RNY5P5	6p22.3	6p
RNY5P6	8p11.21	8p
RNY5P7	10q24.31	10q
RNY5P8	13q33.1	13q
RNY5P9	16q21	16q
RNY5P10	19q13.12	19q
RO60	1q31.2	1q
ROBO1	3p12.3	3p
